path,category,preset,mode,label,labelSource,megapixels,width,height,aspectRatio,fileSize,bpp,brightnessAvg,brightnessStdevMax,laplacianStdev,laplacianMean,laplacianVariance,edgeRatio,dpi,isJpeg,presetIdx,foregroundRatio,sharpnessRatioTopBot,brightnessDiffTopBot,shadowEdgeCenterDiff,centerBrightness,edgeBrightness,backgroundP90,skewAngle,colorSaturation,fftHighFreqRatio,fftSpectralPeaks,fftJpegBlockiness,zoneBrightnessDiff,zoneSharpnessRatio,directionalEnergyRatio,zoneBrightness0,zoneBrightness1,zoneBrightness2,zoneBrightness3,zoneSharpness0,zoneSharpness1,zoneSharpness2,zoneSharpness3,channelCount,textBaselineDeviation,textCharSizeCV,textCharShapeCV,textLineCount,textMedianXHeight,textMedianStrokeWidth,textMedianLineContrast,textMedianStrokeSharpness,textIllegibleFraction,laplacianSignedStdev,laplacianSignedMeanAbs,laplacianSignedEdgeRatio,laplacianSaturationRatio
"test/fixtures/real/receipts/unsorted/rec-00035.jpg","receipt","document","fast",0.89,"human",1.048032,864,1213,0.7122835943940643,378215,2.887049250404568,232.45205012824036,53.683142229566236,54.83870260553977,19.2539569402461,3007.2833034588343,0.12259644743671949,72,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"test/fixtures/real/receipts/unsorted/rec-00035.jpg","receipt","document","thorough",0.89,"human",1.048032,864,1213,0.7122835943940643,378215,2.887049250404568,232.45205012824036,53.683142229566236,54.83870260553977,19.2539569402461,3007.2833034588343,0.12259644743671949,72,1,0,0.05994568868126164,1.10802528761541,1.543365318936253,14.675104604032128,240.42555018786902,225.7504455838369,254,1.1,0,0.5186839427220539,1795,0.1329549443485345,10.70978809566384,0.8938301377426883,4.857906041497201,237.68628147536975,228.76245645397873,236.3855139117701,226.97649337970591,56.346508019990544,56.096732859511164,56.20423228668142,50.364207024827635,3,0.0011785617985070524,0.2929058551509464,0.34254562599393806,,,,,,,143.66816535779662,50.692841439956034,0.20401285456932614,0.36738286617202526
"test/fixtures/real/receipts/unsorted/rec-00035.jpg","receipt","document","deep",0.89,"human",1.048032,864,1213,0.7122835943940643,378215,2.887049250404568,232.45205012824036,53.683142229566236,54.83870260553977,19.2539569402461,3007.2833034588343,0.12259644743671949,72,1,0,0.05994568868126164,1.10802528761541,1.543365318936253,14.675104604032128,240.42555018786902,225.7504455838369,254,1.1,0,0.5186839427220539,1795,0.1329549443485345,10.70978809566384,0.8938301377426883,4.857906041497201,237.68628147536975,228.76245645397873,236.3855139117701,226.97649337970591,56.346508019990544,56.096732859511164,56.20423228668142,50.364207024827635,3,0.0011785617985070524,0.2929058551509464,0.34254562599393806,6,23.5,2.5,185.9255491295707,0.7468900672748207,0.16666666666666666,143.66816535779662,50.692841439956034,0.20401285456932614,0.36738286617202526
"test/fixtures/real/receipts/unsorted/rec-00056.jpg","receipt","document","fast",0.82,"human",34.806376,4961,7016,0.7070980615735462,1985811,0.4564246504720859,251.68003459119498,23.259297311873784,36.04997528886864,6.347561006289308,1299.6007183280392,0.03350817610062893,72,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"test/fixtures/real/receipts/unsorted/rec-00056.jpg","receipt","document","thorough",0.82,"human",34.806376,4961,7016,0.7070980615735462,1985811,0.4564246504720859,251.68003459119498,23.259297311873784,36.04997528886864,6.347561006289308,1299.6007183280392,0.03350817610062893,72,1,0,0.012312578616352201,1.8825141781468144,1.996597484276748,-15.190782567527037,239.76931996855345,254.96010253608048,255,0.3,0,0.4460821865291448,892,0,3.5167069182390094,0.6017167096067282,5.635790881117121,249.52056352201257,251.84290817610062,252.3193962264151,253.03727044025158,45.8025322855326,35.76618363673399,32.21573290636479,27.56014901850661,3,0.0005848818070329404,0.26992020352057233,0.2560052996914534,,,,,,,113.32000139306066,20.1584,0.05517987421383648,0.04739622641509434
"test/fixtures/real/receipts/unsorted/rec-00056.jpg","receipt","document","deep",0.82,"human",34.806376,4961,7016,0.7070980615735462,1985811,0.4564246504720859,251.68003459119498,23.259297311873784,36.04997528886864,6.347561006289308,1299.6007183280392,0.03350817610062893,72,1,0,0.012312578616352201,1.8825141781468144,1.996597484276748,-15.190782567527037,239.76931996855345,254.96010253608048,255,0.3,0,0.4460821865291448,892,0,3.5167069182390094,0.6017167096067282,5.635790881117121,249.52056352201257,251.84290817610062,252.3193962264151,253.03727044025158,45.8025322855326,35.76618363673399,32.21573290636479,27.56014901850661,3,0.0005848818070329404,0.26992020352057233,0.2560052996914534,43,46,5,249.93008330242216,0.9808487539604986,0.09302325581395349,113.32000139306066,20.1584,0.05517987421383648,0.04739622641509434
"test/fixtures/real/receipts/unsorted/rec-00086.jpg","receipt","document","fast",0.53,"human",0.75,750,1000,0.75,92684,0.9886293333333334,159.76343333333332,61.357373038270374,38.24370669158938,11.113518666666666,1462.5811015123184,0.06381733333333334,72,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"test/fixtures/real/receipts/unsorted/rec-00086.jpg","receipt","document","thorough",0.53,"human",0.75,750,1000,0.75,92684,0.9886293333333334,159.76343333333332,61.357373038270374,38.24370669158938,11.113518666666666,1462.5811015123184,0.06381733333333334,72,1,0,0.31551866666666667,1.0200599411754878,6.651098666666655,47.6848875,195.90440833333332,148.21952083333332,216,0,0.18067202091503273,0.09387835632902523,1028,0.21968698840974832,50.734501333333355,0.5700918816370586,7.505118153517869,185.61352533333334,134.879024,182.688912,151.10583466666668,43.67108515518961,32.102703609409595,46.5283429095406,26.52543055875429,3,0.0017828385417825079,0.3305589713884508,0.3990170779649175,,,,,,,78.60448898122804,24.940165333333333,0.11682933333333333,0.452128
"test/fixtures/real/receipts/unsorted/rec-00086.jpg","receipt","document","deep",0.53,"human",0.75,750,1000,0.75,92684,0.9886293333333334,159.76343333333332,61.357373038270374,38.24370669158938,11.113518666666666,1462.5811015123184,0.06381733333333334,72,1,0,0.31551866666666667,1.0200599411754878,6.651098666666655,47.6848875,195.90440833333332,148.21952083333332,216,0,0.18067202091503273,0.09387835632902523,1028,0.21968698840974832,50.734501333333355,0.5700918816370586,7.505118153517869,185.61352533333334,134.879024,182.688912,151.10583466666668,43.67108515518961,32.102703609409595,46.5283429095406,26.52543055875429,3,0.0017828385417825079,0.3305589713884508,0.3990170779649175,0,,,,,,78.60448898122804,24.940165333333333,0.11682933333333333,0.452128
"test/fixtures/real/receipts/unsorted/rec-00092.jpg","receipt","document","fast",0.55,"human",1.525584,888,1718,0.5168800931315483,278036,1.4579911692833696,228.59025634408601,42.56488167090668,23.226448149983483,8.788647741935485,539.4678936638712,0.08112516129032259,72,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
